UUID,Title,Image,Synopsis,Author,Duration,Guidance,Quote,Cited,Supplemental,Video
15CB07D3-614F-41F3-9DB9-FDC3DCB20316,"Come Back, Little Herbie",Come-back-Little-Herbie.jpg,The man in the gorilla costume takes advantage of the Clampett's lifestyle when he's supposed to be working.,Paul Henning & Buddy Atkinson,21:15,PG,,,"Jethro even makes Granny wear an oaf costume, since she doesn't have Clampett blood. Drysdale and Jane visit, and Jane tells the Clampetts that what Jethro is telling them is wrong. But after Drysdale paints a picture for Jane, the two convince the Clampetts to go, even providing an oaf for Jethro, Miss Jane. After Jethro finally makes Granny ""royalty,"" the clan, dressed in normal clothes, goes to get their passports.",https://www.youtube.com/watch?v=XQu8TTBmGhA
400C7007-9B0A-4F9C-9D31-34509031F02F,Jed in Politics,Jed-in-Politics.jpg,"The government tells Granny to stop making her lye soap because it is causing smog, so Jed decides to run for the office of Smog Commissioner.",Mark Tuttle & Ronny Pearlman,21:12,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
8BACA028-E14F-4762-AB1F-E6FB10E7F789,Jed Inherits A Castle,Jed-Inherits-A-Castle.jpg,"Jethro informs Jed that he has acquired a castle in England, after hearing the word from Drysdale. He gets costumes from Tudor times, thinking that Queen Elizabeth I is still ruling.",Paul Henning & Buddy Atkinson,21:04,PG,"""And there is no debtors prison. No torture for those overdrawn at the bank.""",Jane,,https://www.youtube.com/watch?v=XQu8TTBmGhA
778CAF30-7E07-47C7-BF69-8DA4746CE159,The Clampetts In London,The-Clampetts-In-London.jpg,"The Clampetts are on the plane to England, with ""Sir Jethro"" as their leader. But with this comes a detour. The Clampetts get off the aeroplane in San Francisco, after Jethro presumes it is England.",Paul Henning & Buddy Atkinson,21:10,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
1380E932-21A1-4FA3-B761-3B5FF2E39CAB,Mr Universe Muscles In,Mr-Universe-Muscles-In.jpg,"Elly is preparing for her date with Troy Apollo, which was set up by John Cushing from the Merchant's Bank.",Mark Tuttle & Deborah Haber,21:04,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
938E19F9-D3CA-4A0D-B406-C9B323F50BA8,Greetings From The President,Greetings-From-The-President.jpg,"Just as the Clampetts are getting ready to go home to the hills, Jethro gets a draft notification from the President of the US.",Paul Henning & Buddy Atkinson,21:17,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
3C25B57D-76BE-4F06-9CD5-A7895C19949D,The Army Game,The-Army-Game.jpg,An Army psychologist thinks Jethro is pretending to be crazy to avoid military service.,Paul Henning & Buddy Atkinson,21:24,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
6401B5F2-39F9-46A6-8192-5BD2118B668F,A Plot for Granny,A-Plot-for-Granny.jpg,Jed's plan to buy Granny some land out in the country backfires when he mistakenly purchases a cemetery plot.,Paul Henning & Buddy Atkinson,21:16,PG,,,"After learning it was ships that have been sold, the Clampetts decide the Queen needs help, and they decide to take out their money and give it to the Her Majesty.",https://www.youtube.com/watch?v=XQu8TTBmGhA
4013CCAE-ABFD-429E-A397-197C8DD87119,The Social Climbers,The-Social-Climbers.jpg,Jed is aggressively courted by a young socialite widow from back in the hills.,Mark Tuttle & Deborah Haber,20:55,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
528A3342-FA7C-4783-B987-C7C8E687D432,Jethro's Military Career,Jethro's-Military-Career.jpg,Jed thinks Granny has had too much moonshine when she mistakes Jethro in a frogman suit for a sea monster.,Paul Henning & Buddy Atkinson,21:18,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
